Protein FDR Confidence;Accession;Gene symbol;Protein evidence;Protein name;Exp. q-value;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;# AAs;MW [kDa];calc. pI;Score Sequest HT;# Peptides Sequest HT;Score Mascot;# Peptides Mascot;Norm Intensity;iBAQ;Log2 iBAQ
High;NX_P49247-1;RPIA;1;Ribose-5-phosphate isomerase isoform Iso 1;0;75;29.58;6;20;6;1;311;33.2;8.54;56.6;6;242;5;27810104;1463689.684;20.48
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96HS1-1;PGAM5;1;Serine/threonine-protein phosphatase PGAM5, mitochondrial isoform Iso 1;0;75;52.25;12;34;12;1;289;32;8.68;64.29;10;240;11;107041461.5;6296556.561;22.59
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9HD33-1;MRPL47;1;39S ribosomal protein L47, mitochondrial isoform Iso 1;0;75;39.2;10;28;10;1;250;29.4;10.37;75.92;10;396;10;54282697.18;3392668.574;21.69
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96K49-1;TMEM87B;1;Transmembrane protein 87B isoform Iso 1;0;75;24.32;8;14;8;1;555;63.5;7.44;40.34;8;79;8;30574660.44;1273944.185;20.28
;;;;;;;;;;;;;;;;;;;;;
High;NX_P52435-1;POLR2J;1;DNA-directed RNA polymerase II subunit RPB11-a isoform Iso 1;0;75;52.99;5;19;5;1;117;13.3;5.86;60.55;5;200;5;23005870.33;3834311.721;21.87
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07919-1;UQCRH;1;Cytochrome b-c1 complex subunit 6, mitochondrial isoform Iso 1;0;75;64.84;5;44;5;1;91;10.7;4.44;149.46;4;601;5;189331499.6;31555249.94;24.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q5VT52-1;RPRD2;1;Regulation of nuclear pre-mRNA domain-containing protein 2 isoform Iso 1;0;75;14.24;10;12;10;1;1461;155.9;7.42;22.48;8;115;10;13535864.33;218320.3924;17.74
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q12974-1;PTP4A2;1;Protein tyrosine phosphatase type IVA 2 isoform Iso 1;0;75;47.31;6;15;6;1;167;19.1;8.37;51.46;6;141;5;27603496.3;2760349.63;21.4
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96DE0-1;NUDT16;1;U8 snoRNA-decapping enzyme isoform Iso 1;0;75;37.44;7;28;6;1;195;21.3;6.89;74.38;7;180;7;34029397.65;2617645.973;21.32
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96QG7-1;MTMR9;1;Myotubularin-related protein 9 isoform Iso 1;0;75;19.67;10;18;10;1;549;63.4;6.39;42.75;10;99;10;20772857.03;830914.2813;19.66
;;;;;;;;;;;;;;;;;;;;;
High;NX_P50583-1;NUDT2;1;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] isoform Iso 1;0;75;61.22;7;42;7;1;147;16.8;5.35;115.86;7;370;7;91153873.27;9115387.327;23.12
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UBN7-1;HDAC6;1;Histone deacetylase 6 isoform Iso 1;0;74;12.26;8;13;8;1;1215;131.3;5.3;34.21;7;155;8;15531158.51;517705.2838;18.98
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q5VY43-1;PEAR1;1;Platelet endothelial aggregation receptor 1 isoform Iso 1;0;74;12.34;9;25;9;1;1037;110.6;6.81;63.46;9;293;8;21803173.69;703328.1836;19.42
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q63HR2-4;TNS2;1;Tensin-2 isoform Iso 4;0;74;9.65;8;14;7;1;1419;153.5;8.29;32.92;7;216;8;17378749.35;275853.1642;18.07
;;;;;;;;;;;;;;;;;;;;;
High;NX_O95218-1;ZRANB2;1;Zinc finger Ran-binding domain-containing protein 2 isoform Iso 1;0;74;35.15;12;49;12;1;330;37.4;10.01;115.52;12;556;12;85423062.99;4745725.722;22.18
;;;;;;;;;;;;;;;;;;;;;
High;NX_P11279-1;LAMP1;1;Lysosome-associated membrane glycoprotein 1 isoform Iso 1;0;74;9.83;4;40;4;1;417;44.9;8.75;137.19;4;959;4;113289254.8;5962592.36;22.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NY27-1;PPP4R2;1;Serine/threonine-protein phosphatase 4 regulatory subunit 2 isoform Iso 1;0;74;31.41;8;18;8;1;417;46.9;4.54;46.85;7;143;8;29750369.71;1416684.272;20.43
;;;;;;;;;;;;;;;;;;;;;
High;NX_P61457-1;PCBD1;1;Pterin-4-alpha-carbinolamine dehydratase isoform Iso 1;0;74;66.35;7;31;7;1;104;12;6.8;77.94;7;326;7;168851147.3;24121592.48;24.52
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q99538-1;LGMN;1;Legumain isoform Iso 1;0;74;11.78;5;27;5;1;433;49.4;6.55;85.42;5;319;5;35655447.65;1876602.508;20.84
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NUI1-1;DECR2;1;Peroxisomal 2,4-dienoyl-CoA reductase isoform Iso 1;0;74;33.9;9;30;9;1;292;30.8;9.22;76.03;8;347;9;65847313.03;3658184.057;21.8
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96BH1-1;RNF25;1;E3 ubiquitin-protein ligase RNF25 isoform Iso 1;0;74;26.58;7;11;7;1;459;51.2;6.54;23.69;6;59;7;13083703.59;688615.9786;19.39
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9P270-1;SLAIN2;1;SLAIN motif-containing protein 2 isoform Iso 1;0;74;20.83;8;16;8;1;581;62.5;9.45;51.55;8;98;8;21673530.99;802723.37;19.61
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q86Y07-1;VRK2;1;Serine/threonine-protein kinase VRK2 isoform Iso 1;0;74;21.26;8;16;8;1;508;58.1;8.84;31.23;8;127;8;22498778.5;899951.1398;19.78
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q99519-1;NEU1;1;Sialidase-1 isoform Iso 1;0;74;33.73;11;36;11;1;415;45.4;5.88;91.43;11;448;11;77951304.17;3897565.208;21.89
;;;;;;;;;;;;;;;;;;;;;
High;NX_O94804-1;STK10;1;Serine/threonine-protein kinase 10 isoform Iso 1;0;74;18.9;12;22;11;1;968;112.1;6.95;56.52;12;130;10;33787425.24;750831.6719;19.52
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8NFV4-1;ABHD11;1;Protein ABHD11 isoform Iso 1;0;74;32.38;6;14;6;1;315;34.7;9.48;41.59;6;139;6;16450222.46;967660.1446;19.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07948-1;LYN;1;Tyrosine-protein kinase Lyn isoform Iso 1;0;74;27.73;12;34;9;1;512;58.5;7.11;88.71;12;478;12;55434321.02;1979797.179;20.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UI30-1;TRMT112;1;Multifunctional methyltransferase subunit TRM112-like protein isoform Iso 1;0;74;66.4;6;24;6;1;125;14.2;5.26;62.19;6;319;6;81727535.98;11675362.28;23.48
;;;;;;;;;;;;;;;;;;;;;
High;NX_P41236-1;PPP1R2;1;Protein phosphatase inhibitor 2 isoform Iso 1;0;74;63.9;6;14;6;1;205;23;4.74;29.99;4;146;6;29458666.97;4208380.996;22
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y219-1;JAG2;1;Protein jagged-2 isoform Long;0;74;11.55;8;17;7;1;1238;133.3;5.83;48.26;8;225;8;10150481.73;199029.0535;17.6
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y3C8-1;UFC1;1;Ubiquitin-fold modifier-conjugating enzyme 1 isoform Iso 1;0;74;37.72;7;33;7;1;167;19.4;7.4;75.87;7;391;7;143056081.6;17882010.19;24.09
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H9G7-1;AGO3;1;Protein argonaute-3 isoform Iso 1;0;74;11.16;7;19;2;1;860;97.3;9.11;62.07;7;247;7;50760126.27;1153639.233;20.14
;;;;;;;;;;;;;;;;;;;;;
High;NX_P69905-1;"HBA1;HBA2";1;Hemoglobin subunit alpha isoform Iso 1;0;74;34.51;5;82;5;1;142;15.2;8.68;213.44;5;384;5;392730058.9;49091257.36;25.55
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BWU0-1;SLC4A1AP;1;Kanadaptin isoform Iso 1;0;74;28.14;13;25;13;1;796;88.8;5.19;51.85;12;147;11;24139107.47;588758.7188;19.17
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9HBI1-1;PARVB;1;Beta-parvin isoform Iso 1;0;74;30.77;11;31;8;1;364;41.7;6.73;60.77;11;293;10;57963891.42;3050731.127;21.54
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13033-1;STRN3;1;Striatin-3 isoform Beta;0;74;17.94;9;26;8;1;797;87.2;5.36;60.44;8;178;8;68551522.38;2448268.657;21.22
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7L5D6-1;GET4;1;Golgi to ER traffic protein 4 homolog isoform Iso 1;0;74;25.69;7;21;7;1;327;36.5;5.41;55.32;6;290;7;39813432.27;2843816.591;21.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14737-1;PDCD5;1;Programmed cell death protein 5 isoform Iso 1;0;74;56.8;9;47;9;1;125;14.3;6.04;101.41;7;735;9;276354002.1;27635400.21;24.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8IXI2-3;RHOT1;1;Mitochondrial Rho GTPase 1 isoform Iso 3;0;74;19.1;10;23;9;1;691;79.5;6.9;52.77;10;197;10;25622356.81;711732.1336;19.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_P52735-1;VAV2;1;Guanine nucleotide exchange factor VAV2 isoform Iso 1;0;74;16.06;11;28;11;1;878;101.2;7.08;72.88;11;401;10;37745719.61;786369.1586;19.58
;;;;;;;;;;;;;;;;;;;;;
High;NX_P53801-1;PTTG1IP;1;Pituitary tumor-transforming gene 1 protein-interacting protein isoform Iso 1;0;73;23.33;5;65;5;1;180;20.3;8.79;163.28;5;371;5;165354514.8;23622073.54;24.49
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BXR0-1;QTRT1;1;Queuine tRNA-ribosyltransferase catalytic subunit 1 isoform Iso 1;0;73;33.75;9;26;9;1;403;44;7.23;73.24;9;342;9;53317498.07;3136323.416;21.58
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7L2J0-1;MEPCE;1;7SK snRNA methylphosphate capping enzyme isoform Iso 1;0;73;21.63;7;12;7;1;689;74.3;9.57;14.5;5;116;6;13894430.01;448207.4196;18.77
;;;;;;;;;;;;;;;;;;;;;
High;NX_P51636-1;CAV2;1;Caveolin-2 isoform Alpha;0;73;36.42;3;20;3;1;162;18.3;5.27;63.87;3;126;3;45504476.44;5688059.555;22.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_O95400-1;CD2BP2;1;CD2 antigen cytoplasmic tail-binding protein 2 isoform Iso 1;0;73;34.9;8;28;8;1;341;37.6;4.61;60.49;7;275;8;52271775.45;3733698.246;21.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NP79-1;VTA1;1;Vacuolar protein sorting-associated protein VTA1 homolog isoform Iso 1;0;73;33.55;8;40;8;1;307;33.9;6.29;83.07;7;254;8;109906450.9;9158870.912;23.13
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14657-1;TOR1B;1;Torsin-1B isoform Iso 1;0;73;30.95;9;23;9;1;336;38;8.54;59.63;9;189;9;62804164.07;3925260.254;21.9
;;;;;;;;;;;;;;;;;;;;;
High;NX_P40937-1;RFC5;1;Replication factor C subunit 5 isoform Iso 1;0;73;23.53;6;15;6;1;340;38.5;7.2;44.56;6;102;6;41437680.27;1726570.011;20.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_P54802-1;NAGLU;1;Alpha-N-acetylglucosaminidase isoform Iso 1;0;73;19.11;10;22;9;1;743;82.2;6.65;60.32;10;294;10;31480883.51;983777.6096;19.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q6P5R6-1;RPL22L1;1;60S ribosomal protein L22-like 1 isoform Iso 1;0;73;45.08;4;22;4;1;122;14.6;9.38;82.03;4;550;4;70418495.78;17604623.94;24.07
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NPI6-1;DCP1A;1;mRNA-decapping enzyme 1A isoform Iso 1;0;73;20.96;8;16;8;1;582;63.3;6.25;45.04;8;116;8;20099755.98;913625.2717;19.8
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96EY4-1;TMA16;1;Translation machinery-associated protein 16 isoform Iso 1;0;73;32.02;6;23;6;1;203;23.8;9.26;58.67;6;225;6;29792416.65;3310268.517;21.66
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8IWA4-1;MFN1;1;Mitofusin-1 isoform Iso 1;0;73;13.9;8;19;7;1;741;84;6.25;40.61;8;189;8;10284053.06;250830.5624;17.94
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7Z3K3-1;POGZ;1;Pogo transposable element with ZNF domain isoform Iso 1;0;73;13.26;12;17;12;1;1410;155.2;7.4;24.54;11;62;11;15334306.14;300672.6695;18.2
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UNN8-1;PROCR;1;Endothelial protein C receptor isoform Iso 1;0;73;26.05;5;68;5;1;238;26.7;7.18;198.07;5;879;5;381997285.5;38199728.55;25.19
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q99541-1;PLIN2;1;Perilipin-2 isoform Iso 1;0;73;24.49;7;14;7;1;437;48;6.8;39.97;7;111;7;18775644.92;722140.1892;19.46
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y3B7-1;MRPL11;1;39S ribosomal protein L11, mitochondrial isoform Iso 1;0;73;57.29;11;29;11;1;192;20.7;9.91;69.23;11;330;11;63582481.53;4541605.823;22.11
;;;;;;;;;;;;;;;;;;;;;
High;NX_P09234-1;SNRPC;1;U1 small nuclear ribonucleoprotein C isoform Iso 1;0;73;25.79;5;27;5;1;159;17.4;9.67;86.8;4;504;5;70903842.28;14180768.46;23.76
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q86TB9-1;PATL1;1;Protein PAT1 homolog 1 isoform Iso 1;0;73;21.82;9;16;9;1;770;86.8;6.67;39.29;7;101;9;9629016.023;246897.8468;17.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96EY1-1;DNAJA3;1;DnaJ homolog subfamily A member 3, mitochondrial isoform Iso 1;0;72;23.54;7;17;7;1;480;52.5;9.26;51.25;7;134;7;30788453.87;1399475.176;20.42
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8IYB1-1;MB21D2;1;Protein MB21D2 isoform Iso 1;0;72;30.14;9;12;9;1;491;55.8;7.03;31.89;9;64;8;17330187.04;618935.2516;19.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q92520-1;FAM3C;1;Protein FAM3C isoform Iso 1;0;72;39.21;8;21;8;1;227;24.7;8.29;50.42;8;303;7;64589667.44;4968435.957;22.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7Z3E5-1;ARMC9;1;LisH domain-containing protein ARMC9 isoform Iso 1;0;72;17.5;11;18;11;1;817;91.7;6.2;32.49;10;183;11;18577713.42;403863.3352;18.62
;;;;;;;;;;;;;;;;;;;;;
High;NX_P11182-1;DBT;1;Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform Iso 1;0;72;22.2;7;21;7;1;482;53.5;8.51;59.17;7;217;6;20972591.12;838903.6449;19.68
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13158-1;FADD;1;FAS-associated death domain protein isoform Iso 1;0;72;51.92;7;19;7;1;208;23.3;5.69;46.57;6;147;7;27556762.66;3936680.38;21.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9ULS5-1;TMCC3;1;Transmembrane and coiled-coil domain protein 3 isoform Iso 1;0;72;22.85;7;19;7;1;477;53.8;8.54;52.39;7;189;7;23273232.79;861971.5848;19.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75506-1;HSBP1;1;Heat shock factor-binding protein 1 isoform Iso 1;0;72;81.58;5;28;5;1;76;8.5;4.36;59.7;4;292;5;49280666.76;9856133.352;23.23
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H0A8-1;COMMD4;1;COMM domain-containing protein 4 isoform Iso 1;0;72;55.28;7;16;7;1;199;21.8;7.31;37.04;6;130;7;33337629.46;2778135.788;21.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13907-1;IDI1;1;Isopentenyl-diphosphate Delta-isomerase 1 isoform Iso 1;0;72;51.98;8;29;8;1;227;26.3;6.34;43.59;6;76;7;27188862.44;2471714.767;21.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_P42684-1;ABL2;1;Abelson tyrosine-protein kinase 2 isoform Iso 1;0;72;12.69;7;14;5;1;1182;128.3;8.07;26.08;6;64;7;16592605.02;325345.1965;18.31
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BUP3-3;HTATIP2;1;Oxidoreductase HTATIP2 isoform Iso 3;0;72;46.74;10;16;10;1;276;30.1;8.38;41.89;10;103;10;34555277.14;2032663.361;20.95
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96EP0-1;RNF31;1;E3 ubiquitin-protein ligase RNF31 isoform Iso 1;0;72;16.88;9;17;9;1;1072;119.6;6.57;52.21;9;162;8;18040394.81;346930.6694;18.4
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BWJ5-1;SF3B5;1;Splicing factor 3B subunit 5 isoform Iso 1;0;72;94.19;7;28;7;1;86;10.1;6.35;53.02;5;112;7;74579790.85;14915958.17;23.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13232-1;NME3;1;Nucleoside diphosphate kinase 3 isoform Iso 1;0;72;66.27;9;31;9;1;169;19;7.84;75.44;9;293;9;60242852.08;5020237.673;22.26
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q6P3X3-1;TTC27;1;Tetratricopeptide repeat protein 27 isoform Iso 1;0;72;16.84;12;19;11;1;843;96.6;5.59;40.08;11;185;11;24378771.62;609469.2906;19.22
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q92995-1;USP13;1;Ubiquitin carboxyl-terminal hydrolase 13 isoform Iso 1;0;72;19.7;10;19;8;1;863;97.3;5.53;42.99;10;88;8;20869225.81;509005.5076;18.96
;;;;;;;;;;;;;;;;;;;;;
High;NX_P09132-1;SRP19;1;Signal recognition particle 19 kDa protein isoform Iso 1;0;72;58.33;8;17;8;1;144;16.1;9.85;41.26;8;116;7;40220374.1;5745767.728;22.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H6T3-1;RPAP3;1;RNA polymerase II-associated protein 3 isoform Iso 1;0;72;21.05;13;21;13;1;665;75.7;6.84;50.58;13;209;12;40735351.47;1234404.59;20.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UJY5-1;GGA1;1;ADP-ribosylation factor-binding protein GGA1 isoform Iso 1;0;72;18.94;7;18;7;1;639;70.3;5.29;45.15;6;139;7;14366129.1;718306.4551;19.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q6DKI1-1;RPL7L1;1;60S ribosomal protein L7-like 1 isoform Iso 1;0;72;35.77;8;36;8;1;246;28.6;10.51;84.48;8;474;7;73848220.14;5680632.319;22.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BV38-1;WDR18;1;WD repeat-containing protein 18 isoform Iso 1;0;72;24.07;8;24;8;1;432;47.4;6.7;50.03;7;252;8;68971225.77;3831734.765;21.87
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9H7C9-1;AAMDC;1;Mth938 domain-containing protein isoform Iso 1;0;72;70.49;10;30;10;1;122;13.3;8.46;53.52;9;311;10;91438229.96;9143822.996;23.12
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9HD67-1;MYO10;1;Unconventional myosin-X isoform Iso 1;0;72;8.55;13;15;13;1;2058;237.2;6.21;30.69;13;78;8;11676963.36;121635.035;16.89
;;;;;;;;;;;;;;;;;;;;;
High;NX_P62330-1;ARF6;1;ADP-ribosylation factor 6 isoform Iso 1;0;72;60.57;7;43;7;1;175;20.1;8.95;108.23;7;310;6;67021847.63;9574549.661;23.19
;;;;;;;;;;;;;;;;;;;;;
High;NX_O14613-1;CDC42EP2;1;Cdc42 effector protein 2 isoform Iso 1;0;72;59.52;7;17;7;1;210;22.5;5.12;60.56;7;155;6;59029485;8432783.571;23.01
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y376-1;CAB39;1;Calcium-binding protein 39 isoform Iso 1;0;72;37.83;14;43;14;1;341;39.8;6.89;78.55;14;273;13;100444228.3;4367140.36;22.06
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75683-1;SURF6;1;Surfeit locus protein 6 isoform Iso 1;0;72;24.38;6;18;6;1;361;41.4;10.64;25.16;4;323;6;19996131.32;1333075.421;20.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BRZ2-1;TRIM56;1;E3 ubiquitin-protein ligase TRIM56 isoform Iso 1;0;72;23.44;10;23;9;1;755;81.4;7.74;50.3;9;119;8;25102760.17;643660.5172;19.3
;;;;;;;;;;;;;;;;;;;;;
High;NX_O60524-1;NEMF;1;Nuclear export mediator factor NEMF isoform Iso 1;0;72;14.68;11;22;11;1;1076;122.9;6.35;52.31;11;197;11;43890886.1;860605.6098;19.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_P29372-1;MPG;1;DNA-3-methyladenine glycosylase isoform Iso 1;0;72;37.25;7;15;7;1;298;32.8;9.57;37.53;6;212;7;20576212.14;1371747.476;20.39
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UDR5-1;AASS;1;Alpha-aminoadipic semialdehyde synthase, mitochondrial isoform Iso 1;0;72;16.41;12;30;12;1;926;102.1;6.64;47.43;11;103;12;38142712.02;887039.8143;19.76
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9P2K8-1;EIF2AK4;1;eIF-2-alpha kinase GCN2 isoform Iso 1;0;71;10.25;12;19;12;1;1649;186.8;6.28;41.69;12;64;12;29697698.07;375920.2288;18.52
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q86WR0-1;CCDC25;1;Coiled-coil domain-containing protein 25 isoform Iso 1;0;71;50;11;19;11;1;208;24.5;6.8;39.78;10;167;9;32690439.28;2335031.377;21.16
;;;;;;;;;;;;;;;;;;;;;
High;NX_P51692-1;STAT5B;1;Signal transducer and activator of transcription 5B isoform Iso 1;0;71;23.89;12;21;5;1;787;89.8;6.05;56.99;12;193;10;25517136.75;689652.3446;19.4
;;;;;;;;;;;;;;;;;;;;;
High;NX_P85037-1;FOXK1;1;Forkhead box protein K1 isoform Iso 1;0;71;23.6;12;33;10;1;733;75.4;9.32;53.61;11;229;10;48364826.33;1560155.688;20.57
;;;;;;;;;;;;;;;;;;;;;
High;NX_O43719-1;HTATSF1;1;HIV Tat-specific factor 1 isoform Iso 1;0;71;23.58;10;14;10;1;755;85.8;4.4;25.35;8;73;9;29704773.06;571245.6358;19.12
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q16864-2;ATP6V1F;1;V-type proton ATPase subunit F isoform Iso 2;0;71;40.14;7;18;7;1;147;16.4;5.08;46.86;7;115;7;67743034.88;7527003.875;22.84
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q96S19-1;METTL26;1;Methyltransferase-like 26 isoform Iso 1;0;71;44.61;8;15;8;1;204;22.6;7.83;34.77;8;209;8;20525759;1466125.643;20.48
;;;;;;;;;;;;;;;;;;;;;
High;NX_P43307-1;SSR1;1;Translocon-associated protein subunit alpha isoform Iso 1;0;71;22.38;5;60;5;1;286;32.2;4.49;184.32;5;914;5;269164623.5;29907180.39;24.83
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q92930-1;RAB8B;1;Ras-related protein Rab-8B isoform Iso 1;0;71;41.06;10;53;4;1;207;23.6;9.07;225.28;9;1602;10;241738799.6;20144899.96;24.26
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q86VM9-1;ZC3H18;1;Zinc finger CCCH domain-containing protein 18 isoform Iso 1;0;71;12.7;7;20;1;1;953;106.3;8.32;59.51;7;231;7;19167233.03;416678.9789;18.67
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14919-2;DRAP1;1;Dr1-associated corepressor isoform Iso 2;0;71;27.49;6;17;6;1;211;23.1;5.27;52.29;6;155;6;28547991.74;2854799.174;21.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_P24385-1;CCND1;1;G1/S-specific cyclin-D1 isoform Iso 1;0;71;31.86;8;22;8;1;295;33.7;5.02;43.1;8;233;7;33492260.7;1762750.563;20.75
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15758-1;SLC1A5;1;Neutral amino acid transporter B(0) isoform Iso 1;0;71;19.41;8;29;8;1;541;56.6;5.48;81.77;8;406;8;50149431.61;3134339.476;21.58
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15057-1;ACAP2;1;Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 isoform Iso 1;0;71;17.1;10;24;10;1;778;88;6.8;44.38;9;149;10;26736316.44;581224.2703;19.15
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15031-1;LARS2;1;Probable leucine--tRNA ligase, mitochondrial isoform Iso 1;0;71;19.05;11;17;11;1;903;101.9;8.22;37.82;11;97;10;15361899.27;341375.5392;18.38
;;;;;;;;;;;;;;;;;;;;;
High;NX_O95881-1;TXNDC12;1;Thioredoxin domain-containing protein 12 isoform Iso 1;0;71;66.86;8;54;8;1;172;19.2;5.4;112.51;7;608;8;130018591.2;13001859.12;23.63
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75695-1;RP2;1;Protein XRP2 isoform Iso 1;0;71;18.29;6;32;6;1;350;39.6;5.12;76.54;6;299;6;67712865.9;4232054.119;22.01
;;;;;;;;;;;;;;;;;;;;;
High;NX_P56182-1;RRP1;1;Ribosomal RNA processing protein 1 homolog A isoform Iso 1;0;71;27.98;11;26;11;1;461;52.8;9.33;42.28;10;121;11;59107679.7;2364307.188;21.17
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q69YN4-1;KIAA1429;1;Protein virilizer homolog isoform Iso 1;0;71;9.99;10;12;10;1;1812;201.9;5.01;24.65;9;147;8;11073665.19;115350.679;16.82
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BQC3-1;DPH2;1;2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 isoform Iso 1;0;71;19.22;5;17;5;1;489;52.1;5.53;49.37;5;78;5;11191307.39;559565.3695;19.09
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BYV8-1;CEP41;1;Centrosomal protein of 41 kDa isoform Iso 1;0;71;30.56;8;17;8;1;373;41.3;8.32;43.74;8;136;8;23504923.71;1237101.248;20.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q969S3-1;ZNF622;1;Zinc finger protein 622 isoform Iso 1;0;71;27.88;11;21;11;1;477;54.2;6.15;52.74;11;149;9;20712536.91;828501.4765;19.66
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q6VMQ6-4;ATF7IP;1;Activating transcription factor 7-interacting protein 1 isoform Iso 3;0;71;11.74;7;11;7;1;1278;137.4;4.72;21.21;6;61;6;8399944.913;195347.5561;17.58
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75381-1;PEX14;1;Peroxisomal membrane protein PEX14 isoform Iso 1;0;71;39.26;8;13;8;1;377;41.2;4.94;20.04;6;103;8;16419700.18;1094646.679;20.06
;;;;;;;;;;;;;;;;;;;;;
